date,open,high,low,close,volume,average,barCount
2025-05-02 13:45:00-04:00,413.15,413.32,412.85,413.11,9576.0,413.097,72
2025-05-02 14:00:00-04:00,413.11,413.51,413.09,413.45,88728.0,413.38,250
2025-05-02 14:15:00-04:00,413.42,413.58,413.26,413.27,16022.0,413.443,115
2025-05-02 14:30:00-04:00,413.35,413.7,413.28,413.43,18448.0,413.427,103
2025-05-02 14:45:00-04:00,413.42,413.44,412.39,412.89,39141.0,412.833,166
2025-05-02 15:00:00-04:00,412.85,413.0,412.44,412.72,38895.0,412.728,138
2025-05-02 15:15:00-04:00,412.8,413.69,412.8,413.56,87052.0,413.566,429
2025-05-02 15:30:00-04:00,413.54,413.67,413.19,413.65,71245.0,413.495,359
2025-05-02 15:45:00-04:00,413.56,413.73,412.63,412.97,291508.0,413.146,1410
2025-05-05 09:30:00-04:00,410.82,411.58,410.46,411.39,290046.0,411.292,1478
2025-05-05 09:45:00-04:00,411.38,411.83,410.74,411.68,130407.0,411.332,729
2025-05-05 10:00:00-04:00,411.9,412.74,411.71,412.45,86367.0,412.242,596
2025-05-05 10:15:00-04:00,412.17,412.71,412.15,412.71,122691.0,412.509,323
2025-05-05 10:30:00-04:00,412.66,413.36,412.24,413.06,38687.0,412.816,185
2025-05-05 10:45:00-04:00,413.09,413.62,413.05,413.54,48036.0,413.293,219
2025-05-05 11:00:00-04:00,413.56,413.78,413.34,413.41,71038.0,413.571,379
2025-05-05 11:15:00-04:00,413.37,413.89,413.23,413.39,113211.0,413.474,416
2025-05-05 11:30:00-04:00,413.48,413.53,412.89,413.4,75112.0,413.169,270
2025-05-05 11:45:00-04:00,413.48,413.88,413.38,413.83,23736.0,413.634,99
2025-05-05 12:00:00-04:00,413.78,414.4,413.7,414.08,50077.0,414.142,234
2025-05-05 12:15:00-04:00,414.06,414.36,413.93,414.2,22645.0,414.118,161
2025-05-05 12:30:00-04:00,414.15,414.21,413.88,414.16,14883.0,414.034,87
2025-05-05 12:45:00-04:00,414.12,414.2,414.02,414.13,35412.0,414.116,110
2025-05-05 13:00:00-04:00,414.09,414.19,413.81,413.81,86187.0,413.952,213
2025-05-05 13:15:00-04:00,413.76,413.84,413.4,413.43,95042.0,413.542,173
2025-05-05 13:30:00-04:00,413.4,413.95,413.4,413.91,90253.0,413.809,328
2025-05-05 13:45:00-04:00,413.99,414.37,413.99,414.06,63637.0,414.177,231
2025-05-05 14:00:00-04:00,414.06,414.4,413.97,414.38,48895.0,414.224,180
2025-05-05 14:15:00-04:00,414.34,414.44,414.19,414.19,29192.0,414.337,139
2025-05-05 14:30:00-04:00,414.17,414.37,414.17,414.21,32735.0,414.2,103
2025-05-05 14:45:00-04:00,414.22,414.25,413.72,413.86,221877.0,414.01,451
2025-05-05 15:00:00-04:00,413.82,413.85,413.39,413.45,90338.0,413.581,350
2025-05-05 15:15:00-04:00,413.5,413.66,412.8,412.98,645737.0,413.259,640
2025-05-05 15:30:00-04:00,412.91,413.41,412.71,412.9,67604.0,413.09,416
2025-05-05 15:45:00-04:00,412.9,412.95,412.01,412.33,211052.0,412.303,1006
2025-05-06 09:30:00-04:00,408.42,409.71,408.24,409.03,169116.0,409.082,1024
2025-05-06 09:45:00-04:00,409.02,409.27,407.51,408.4,97467.0,408.366,776
2025-05-06 10:00:00-04:00,408.38,409.76,408.14,409.63,57628.0,408.991,343
2025-05-06 10:15:00-04:00,409.55,410.65,409.55,410.43,48641.0,410.296,242
2025-05-06 10:30:00-04:00,410.46,410.94,410.31,410.43,32103.0,410.518,183
2025-05-06 10:45:00-04:00,410.54,410.88,410.24,410.54,31145.0,410.559,169
2025-05-06 11:00:00-04:00,410.58,410.85,410.25,410.46,12554.0,410.619,67
2025-05-06 11:15:00-04:00,410.47,410.91,410.17,410.68,29915.0,410.492,94
2025-05-06 11:30:00-04:00,410.7,410.96,410.05,410.06,29417.0,410.502,88
2025-05-06 11:45:00-04:00,410.08,410.34,409.69,409.69,17014.0,409.928,98
2025-05-06 12:00:00-04:00,409.88,411.74,409.73,411.46,61963.0,410.405,395
2025-05-06 12:15:00-04:00,411.42,411.42,409.88,410.12,53104.0,410.502,378
2025-05-06 12:30:00-04:00,410.05,410.41,409.31,409.39,14289.0,410.114,87
2025-05-06 12:45:00-04:00,409.29,409.41,408.77,408.85,13743.0,409.057,80
2025-05-06 13:00:00-04:00,408.84,409.61,408.79,409.42,23345.0,409.173,147
2025-05-06 13:15:00-04:00,409.44,409.65,408.74,409.0,39246.0,409.105,204
2025-05-06 13:30:00-04:00,409.14,409.3,408.16,408.17,32121.0,408.761,209
2025-05-06 13:45:00-04:00,408.15,408.23,407.89,407.99,13995.0,408.064,86
2025-05-06 14:00:00-04:00,407.95,408.77,407.95,408.24,44794.0,408.44,274
2025-05-06 14:15:00-04:00,408.35,409.16,408.35,409.14,12395.0,408.743,59
2025-05-06 14:30:00-04:00,409.25,409.4,408.95,409.02,20073.0,409.17,85
2025-05-06 14:45:00-04:00,409.07,409.49,408.84,409.49,17275.0,409.254,82
2025-05-06 15:00:00-04:00,409.56,409.56,408.72,409.15,19657.0,409.197,102
2025-05-06 15:15:00-04:00,409.11,409.3,408.81,409.21,10297.0,409.046,78
2025-05-06 15:30:00-04:00,409.25,409.58,409.11,409.4,31993.0,409.392,231
2025-05-06 15:45:00-04:00,409.46,409.54,408.14,408.21,172917.0,408.669,905
2025-05-07 09:30:00-04:00,409.86,410.8,409.53,410.68,87324.0,410.019,585
2025-05-07 09:45:00-04:00,410.74,410.78,409.75,410.7,56483.0,410.305,358
2025-05-07 10:00:00-04:00,410.46,410.79,410.15,410.23,50647.0,410.614,193
2025-05-07 10:15:00-04:00,410.42,410.75,410.09,410.64,24787.0,410.407,102
2025-05-07 10:30:00-04:00,410.62,410.76,410.28,410.58,41634.0,410.563,210
2025-05-07 10:45:00-04:00,410.57,410.65,409.38,409.89,32407.0,409.931,167
2025-05-07 11:00:00-04:00,409.76,410.28,409.4,409.6,36944.0,409.805,161
2025-05-07 11:15:00-04:00,409.71,410.42,409.62,410.42,15471.0,410.09,103
2025-05-07 11:30:00-04:00,410.3,410.88,410.15,410.82,35354.0,410.429,213
2025-05-07 11:45:00-04:00,410.81,410.85,410.0,410.85,30356.0,410.575,202
2025-05-07 12:00:00-04:00,410.83,411.06,410.66,411.04,27877.0,410.952,213
2025-05-07 12:15:00-04:00,411.07,411.32,410.4,410.4,25223.0,410.832,182
2025-05-07 12:30:00-04:00,410.5,411.36,410.48,411.3,24208.0,411.055,157
2025-05-07 12:45:00-04:00,411.36,412.07,411.18,412.0,44524.0,411.742,324
2025-05-07 13:00:00-04:00,411.92,412.38,411.92,412.25,17226.0,412.089,117
2025-05-07 13:15:00-04:00,412.24,412.32,411.77,411.91,16544.0,412.114,114
2025-05-07 13:30:00-04:00,411.89,412.02,411.08,411.09,37734.0,411.368,197
2025-05-07 13:45:00-04:00,411.13,411.38,410.0,410.6,101301.0,410.725,681
2025-05-07 14:00:00-04:00,410.34,411.12,408.15,408.67,66787.0,409.381,488
